"Marca temporal","¿En qué grupo de edad te encontrás?","¿Conocías o habías escuchado acerca de las bolsitas térmicas de semillas?","¿Alguna vez utilizaste una bolsita de semillas para calentarte o relajarte?","Si respondiste que sí, ¿para qué la utilizaste?","¿Conocés el espinillo, una planta autóctona de nuestra provincia de San Luis?","¿Conocés plantas aromáticas?","¿Cuáles de estas plantas aromáticas conocés?","¿Pensás que un aroma agradable puede influir en cómo nos sentimos?","¿Qué sensación te produce un aroma que te gusta?","¿Pensás que una bolsita de semillas calentita y aromática podría ayudar a generar una sensación de bienestar?","Si pudieras elegir una bolsita aromática, ¿qué aroma preferirías?","¿Te gustaría probar una bolsita elaborada con semillas y hierbas aromáticas?","¿Qué pensás que puede aportar una bolsita de semillas calentita y aromática?","¿Cómo describirías la experiencia?","¿Sentiste el calor de la bolsita?","¿Te gustó el aroma?","Después de utilizarla, ¿qué sensación experimentaste?","¿Volverías a utilizar una bolsita como esta?"
"2026/08/13 8:40:02 p. m. GMT-3","Entre 31 y 45 años","Las conozco, pero nunca las utilicé","No","","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación;Me trae recuerdos agradables","Si!","Menta","Si!","Relajación, calma, descanso,frescura ","","","","",""
"2026/08/13 8:40:47 p. m. GMT-3","Entre 46 y 60 años","Sí, las conozco y las utilicé!","Si!","Para aliviar alguna molestia muscular o corporal","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma","Si!","Lavanda","Si!","relajación y bienestar ","Muy agradable","Bastante","Mucho","Bienestar","Seguramente si!"
"2026/08/13 8:58:52 p. m. GMT-3","Entre 31 y 45 años","Las conozco, pero nunca las utilicé","Si!","Para relajarme","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Me trae recuerdos agradables","Si!","Lavanda","Si!","El aroma me produce calma y relajación. Está bueno implementarlo en nuestra vida.","Muy agradable","Bastante","Mucho","Calma","Seguramente si!"
"2026/08/13 9:33:51 p. m. GMT-3","Entre 19 y 30 años","Las conozco, pero nunca las utilicé","Si!","Para aliviar alguna molestia muscular o corporal","Si, lo conozco!","Si!","Menta","Si!","Relajación","Si!","Menta","Si!","Relajacion","Agradable","Algo si","Mucho","Relajación","Seguramente si!"
"2026/08/13 11:07:37 p. m. GMT-3","Entre 46 y 60 años","Sí, las conozco y las utilicé!","Si!","Para aliviar alguna molestia muscular o corporal","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación;Alegría;Me trae recuerdos agradables","Si!","Manzanilla","Si!","Calma, relajación y bienestar","Muy agradable","Mucho","Mucho","Calma;Relajación;Bienestar;Alegría","Seguramente si!"
"2026/08/14 9:10:33 a. m. GMT-3","Más de 60 años","Las conozco, pero nunca las utilicé","No","","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación;Me trae recuerdos agradables","Si!","Lavanda","Si!","Bienestar","","","","",""
"2026/08/14 4:33:33 p. m. GMT-3","Entre 19 y 30 años","No las conocía/conozco","No","","Lo he visto antes, pero no conocía su nombre!","Si!","Lavanda;Romero;Menta","No estoy seguro","Calma","Si!","Lavanda","Si!","Tranquilidad ","Agradable","Bastante","Algo si","Calma","Seguramente si!"
"2026/08/14 5:51:20 p. m. GMT-3","Entre 19 y 30 años","Las conozco, pero nunca las utilicé","Si!","Para aliviar alguna molestia muscular o corporal","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Me trae recuerdos agradables","Si!","Lavanda","Si!","RELAJACIÓN, CALOR, CALMA","Agradable","Bastante","Mucho","Calma;Relajación;Alegría","Seguramente si!"
"2026/08/14 5:55:54 p. m. GMT-3","Entre 46 y 60 años","Las conozco, pero nunca las utilicé","No","","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación;Alegría","Si!","Lavanda","Si!","Bienestar- calma","Agradable","Bastante","Bastante","Calma;Bienestar","Seguramente si!"
"2026/08/14 6:10:28 p. m. GMT-3","Entre 46 y 60 años","Sí, las conozco y las utilicé!","Si!","Para relajarme","Lo he visto antes, pero no conocía su nombre!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación;Alegría;Me trae recuerdos agradables","Si!","Lavanda","Si!","Relajación ","Muy agradable","Mucho","Mucho","Calma;Relajación;Bienestar","Seguramente si!"
"2026/08/14 6:22:30 p. m. GMT-3","Entre 46 y 60 años","Las conozco, pero nunca las utilicé","No","","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Alegría;Me trae recuerdos agradables","Si!","Lavanda","Si!","Bienestar, aroma, tranquilidad, relajación.","","","","",""
"2026/08/14 6:28:22 p. m. GMT-3","Entre 46 y 60 años","Sí, las conozco y las utilicé!","Si!","Para aliviar alguna molestia muscular o corporal","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación;Me trae recuerdos agradables","Si!","Esencia de limón, eucalipto","Si!","Puede relajar una zona afectada o con molestias.","Muy agradable","Bastante","Mucho","Relajación","Seguramente si!"
"2026/08/14 6:28:50 p. m. GMT-3","Entre 46 y 60 años","Sí, las conozco y las utilicé!","Si!","Para aliviar alguna molestia muscular o corporal","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla;Incienso, laurel, tomillo, etc","Si!","Calma;Relajación;Me trae recuerdos agradables","Si!","Romero","Si!","Sanacion","Muy agradable","Mucho","Mucho","Relajación","Seguramente si!"
"2026/08/14 6:31:20 p. m. GMT-3","Entre 46 y 60 años","No las conocía/conozco","No","","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma","Si!","Lavanda","Si!","Bienestar, relajación, lindos recuerdos, nostalgia","","","","",""
"2026/08/14 6:35:18 p. m. GMT-3","Entre 31 y 45 años","Las conozco, pero nunca las utilicé","No","","Lo he visto antes, pero no conocía su nombre!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Alegría;Me trae recuerdos agradables","Si!","Lavanda","Si!","Bienestar","","","","",""
"2026/08/14 6:35:29 p. m. GMT-3","Entre 31 y 45 años","Las conozco, pero nunca las utilicé","No","","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación;Me trae recuerdos agradables","Si!","Manzanilla","Si!","Calma relajación descanso","","","","",""
"2026/08/14 6:44:17 p. m. GMT-3","Entre 46 y 60 años","Sí, las conozco y las utilicé!","Si!","Para aliviar alguna molestia muscular o corporal","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Sensación de bienestar ","Si!","Menta","Si!","Bienestar ","","","","",""
"2026/08/14 6:53:52 p. m. GMT-3","Entre 46 y 60 años","Las conozco, pero nunca las utilicé","No","","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación;Alegría;Me trae recuerdos agradables","Si!","Manzanilla","Si!","Relajación -calma-bienestar","Muy agradable","Mucho","Mucho","Calma;Relajación;Bienestar;Ninguna sensación en particular","Seguramente si!"
"2026/08/14 6:57:32 p. m. GMT-3","Entre 46 y 60 años","Las conozco, pero nunca las utilicé","No","","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación;Me trae recuerdos agradables","Si!","Lavanda","Si!","Siento que me producirá Bienestar, calma y relajación ","","","","",""
"2026/08/14 7:07:17 p. m. GMT-3","Entre 31 y 45 años","Sí, las conozco y las utilicé!","Si!","Para aliviar alguna molestia muscular o corporal","No lo conozco ni lo he visto","Si!","Lavanda;Romero;Menta;Manzanilla;Salvia, melisa","Si!","Calma;Relajación","Si!","Lavanda","Si!","Pienso cuando uno atraviesa una larga jornada en su diaria, donde necesita ese momento de llegar, parar y tomar esa bolsita, disfrutar ese momento. Que te aporte ese calor necesario, pasando por una relajación, inhalando su aroma, trayendo esa calma y ese descanso necesario. Es así que uno se siente en un estado de bienestar!","","","","",""
"2026/08/14 7:56:18 p. m. GMT-3","Entre 31 y 45 años","Sí, las conozco y las utilicé!","Si!","Para aliviar alguna molestia muscular o corporal","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación;Alegría","Si!","Lavanda","Si!","Calma, al apoyarlo sobre zonas como el pecho, los hombros, el cuello o los ojos, genera una sensación de contención que ayuda a bajar las revoluciones mentales y bajar la ansiedad. Tal vez puedan acompañar a momentos de autocuidado y conexión con uno mismo en estos tiempos de crisis pueden ser un elemento fundamental para que  las familias tengan en sus casas.","Muy agradable","Poco","Mucho","Calma;Relajación;Bienestar","Seguramente si!"
"2026/08/14 8:01:33 p. m. GMT-3","Entre 46 y 60 años","Sí, las conozco y las utilicé!","Si!","Para aliviar alguna molestia muscular o corporal","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma;Relajación","Si!","Lavanda","Si!","Bienestar ","","","","",""
"2026/08/14 8:11:15 p. m. GMT-3","Entre 46 y 60 años","No las conocía/conozco","No","","Si, lo conozco!","Si!","Lavanda;Romero;Menta;Manzanilla","Si!","Calma","Si!","Menta","Si!","Descanso","Muy agradable","Bastante","Mucho","Relajación","Seguramente si!"
